"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 13:59:04 GMT 2023","Wed Mar 29 13:59:04 GMT 2023","408","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:59:05 GMT 2023","Wed Mar 29 13:59:05 GMT 2023","365","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 13:58:58 GMT 2023","Wed Mar 29 13:58:59 GMT 2023","429","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 13:59:05 GMT 2023","Wed Mar 29 13:59:06 GMT 2023","1154","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 13:59:07 GMT 2023","Wed Mar 29 13:59:08 GMT 2023","1041","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 13:58:59 GMT 2023","Wed Mar 29 13:59:03 GMT 2023","4343","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 13:59:03 GMT 2023","Wed Mar 29 13:59:04 GMT 2023","364","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 13:59:04 GMT 2023","Wed Mar 29 13:59:05 GMT 2023","364","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:59:04 GMT 2023","Wed Mar 29 13:59:04 GMT 2023","389","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:58:59 GMT 2023","Wed Mar 29 13:58:59 GMT 2023","44","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 13:59:07 GMT 2023","Wed Mar 29 13:59:07 GMT 2023","480","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 13:59:06 GMT 2023","Wed Mar 29 13:59:07 GMT 2023","625","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
